Rk,G,Date,home_away,Opp,W/L,celtics_points,opp_points,c_FG,c_FGA,c_FG%,c_3P,c_3PA,c_3P%,c_FT,c_FTA,c_FT%,c_ORB,c_TRB,c_AST,c_STL,c_BLK,c_TOV,c_PF,o_FG,o_FGA,o_FG%,o_3P,o_3PA,o_3P%,o_FT,o_FTA,o_FT%,o_ORB,o_TRB,o_AST,o_STL,o_BLK,o_TOV,o_PF
69,69,3/13/22,,DAL,L,92,95,33,88,0.375,9,37,0.243,17,19,0.895,11,45,16,8,3,11,12,33,74,0.446,15,37,0.405,14,19,0.737,4,42,20,7,5,17,16
70,70,3/16/22,@,GSW,W,110,88,38,81,0.469,15,40,0.375,19,22,0.864,8,53,23,4,4,10,15,32,86,0.372,11,48,0.229,13,16,0.813,7,38,19,8,4,8,21
71,71,3/18/22,@,SAC,W,126,97,46,82,0.561,22,40,0.55,12,17,0.706,6,43,33,11,1,13,23,33,79,0.418,13,36,0.361,18,24,0.75,8,37,23,5,6,16,14
72,72,3/20/22,@,DEN,W,124,104,47,82,0.573,19,40,0.475,11,11,1,5,38,29,4,6,8,18,35,87,0.402,14,39,0.359,20,25,0.8,13,41,22,4,3,10,15
73,73,3/21/22,@,OKC,W,132,123,44,86,0.512,15,40,0.375,29,34,0.853,6,42,22,8,7,8,18,48,93,0.516,17,37,0.459,10,14,0.714,10,42,23,5,4,11,26
74,74,3/23/22,,UTA,W,125,97,50,84,0.595,19,36,0.528,6,7,0.857,8,39,37,8,10,12,20,35,88,0.398,8,36,0.222,19,21,0.905,16,40,13,8,1,14,14
75,75,3/27/22,,MIN,W,134,112,49,87,0.563,17,39,0.436,19,21,0.905,10,45,27,7,5,13,20,45,84,0.536,14,32,0.438,8,12,0.667,4,30,26,7,3,14,21
76,76,3/28/22,@,TOR,L,112,115,39,95,0.411,12,40,0.3,22,28,0.786,16,57,23,5,7,16,15,46,106,0.434,10,39,0.256,13,18,0.722,16,52,16,10,11,10,28
77,77,3/30/22,,MIA,L,98,106,35,85,0.412,11,37,0.297,17,23,0.739,8,44,27,9,1,17,22,38,79,0.481,13,34,0.382,17,25,0.68,4,42,27,9,6,15,23
78,78,4/1/22,,IND,W,128,123,45,83,0.542,12,33,0.364,26,28,0.929,11,40,29,7,4,15,19,42,81,0.519,17,36,0.472,22,23,0.957,8,30,25,9,3,16,30
79,79,4/3/22,,WAS,W,144,102,56,91,0.615,23,44,0.523,9,13,0.692,7,39,39,6,5,7,20,38,82,0.463,8,21,0.381,18,20,0.9,7,32,21,4,2,12,14
